"","directors","score_coef"
"164","Andrew Leman",0.267004575333882
"165","Dave Carroll",0.267004574224324
"166","Anthony Vallone",0.267004559892492
"167","Tom McGrath",0.253527191146895
"168","David Fincher",0.210431172030306
"169","Richard Linklater",0.198953237541273
"170","Steven Spielberg",0.182039303834198
"171","Peter Jackson",0.181792379747047
"172","Darren Aronofsky",0.181790831190568
"173","Bryan Singer",0.153399999155577
"174","Marc Forster",0.153399506664159
"175","Anthony Russo",0.153243545228719
"176","Brad Bird",0.153242732403257
"177","Michel Gondry",0.153241780292603
"178","Randall Wallace",0.153240762011459
"179","Gabriele Muccino",0.153240175954857
"180","George Tillman Jr.",0.153239274419698
"181","Gavin O'Connor",0.153239081278457
"182","Michael Moore",0.153238727955058
"183","Christopher Guest",0.153238419900182
"184","Antoine Fuqua",0.120848451206824
"185","Ridley Scott",0.0964332343270553
"186","James Mangold",0.0963659357394082
"187","Gore Verbinski",0.0963024528735565
"188","James Wan",0.0963018423350894
"189","Adam McKay",0.096300224666102
"190","George Clooney",0.0962993295102427
"191","David O. Russell",0.0962989289667778
"192","Gus Van Sant",0.0962982859719639
"193","Jeff Tremaine",0.0962974064162764
"194","Andrew Stanton",0.0962370222588444
"195","Andrew Adamson",0.096236898589181
"196","Joseph Kosinski",0.0962366006668427
"197","John Lasseter",0.0962365882608432
"198","Matt Reeves",0.0962359662174444
"199","James Bobin",0.0962357908962623
"200","Alan Taylor",0.0962357561680948
"201","Alex Proyas",0.096235404353619
"202","Peyton Reed",0.0962352715568221
"203","Tony Gilroy",0.0962351823265671
"204","Kirk De Micco",0.0962350639277955
"205","Len Wiseman",0.096234926763565
"206","Michael Mann",0.0962349007306647
"207","Mark Dindal",0.0962348028723173
"208","Chris Wedge",0.0962347571544916
"209","Steve Martino",0.0962347168393466
"210","Rupert Wyatt",0.0962346669098759
"211","John Lee Hancock",0.096234622406306
"212","Phil Lord",0.0962346125672595
"213","Kevin Lima",0.0962344912119268
"214","Andrew Davis",0.0962344387379335
"215","Sylvester Stallone",0.0962343727866257
"216","Frank Darabont",0.0962340128412777
"217","Glenn Ficarra",0.096233728608658
"218","David Dobkin",0.0962332492067552
"219","Gary Fleder",0.0962331442969927
"220","Danny Boyle",0.0962331065175285
"221","John Stockwell",0.09623304551774
"222","Rob Reiner",0.0962329757422235
"223","Julie Taymor",0.0962329462864676
"224","Nick Cassavetes",0.0962327784714534
"225","Brad Furman",0.0962327599893327
"226","Peter Hedges",0.096232735525969
"227","Boaz Yakin",0.0962324520326641
"228","Jason Reitman",0.0962323974720664
"229","Rian Johnson",0.0962323786095856
"230","Lee Toland Krieger",0.0962323652136433
"231","Tate Taylor",0.0962323254262245
"232","Kurt Wimmer",0.0962322966284465
"233","Michael Radford",0.096232263047008
"234","Charles Herman-Wurmfeld",0.0962321652679945
"235","Joe Carnahan",0.0962321408586718
"236","John Wells",0.096232111867314
"237","John Hillcoat",0.0962320832206541
"238","Werner Herzog",0.0962320713904949
"239","Mira Nair",0.0962320526728148
"240","Jessie Nelson",0.0962320479837745
"241","Billy Ray",0.0962319234907299
"242","Todd Haynes",0.0962319104402987
"243","Sean McNamara",0.0962318592845589
"244","Gina Prince-Bythewood",0.0962317718235097
"245","Kenneth Lonergan",0.096231685537127
"246","Jake Schreier",0.0962316360539342
"247","Darren Lynn Bousman",0.0962315847013866
"248","Shari Springer Berman",0.0962314085117324
"249","Zach Braff",0.0962313872022468
"250","Michael Cuesta",0.0962313235570553
"251","Mike Mills",0.096231277688315
"252","Charles Ferguson",0.0962312538110886
"253","Michael Landon Jr.",0.0962312274897499
"254","Mike Cahill",0.0962310689478135
