"","actors","score_coef"
"163","Jaime Zevallos",0.1254953469358
"164","Eamonn Walker",0.12534362924994
"165","Misty Upham",0.125168848599613
"166","Michael O'Keefe",0.125163020525415
"167","John Cameron Mitchell",0.124959687165753
"168","Miriam Shor",0.124956820930544
"169","Manny Perez",0.124907209736285
"170","Conleth Hill",0.124906567820561
"171","Steven Yeun",0.124880182804049
"172","Venida Evans",0.12487877005929
"173","Tom Kane",0.124617309972042
"174","Diane Baker",0.124617238314535
"175","Melora Walters",0.12461375335306
"176","Alan Oppenheimer",0.124613510926287
"177","David Raizor",0.124549433398018
"178","Cody Howard",0.124543368092376
"179","David Patrick Kelly",0.124471368542021
"180","Christopher Nicholas Smith",0.124371913107303
"181","Michaela Watkins",0.124369954908077
"182","Lymari Nadal",0.124323559088743
"183","Steven Michael Quezada",0.124317778297039
"184","June Squibb",0.124161753158154
"185","Howard Hesseman",0.124161106968294
"186","Michael Harding",0.124160087342328
"187","Jake Richardson",0.124158183776019
"188","Walter Masterson",0.124142234881851
"189","Bruce Altman",0.124139437257696
"190","Larry Fessenden",0.124109036867213
"191","Ryan Donowho",0.124103172188497
"192","Mustafa Haidari",0.124060782360891
"193","Wilford Brimley",0.12406058638593
"194","Khalid Abdalla",0.124058935298629
"195","Edgar Arreola",0.124058474015216
"196","Rick Macy",0.124058332694381
"197","Mary Catherine Garrison",0.124058306555105
"198","Karen Pittman",0.124055229124288
"199","Bernardo Saracino",0.124054887011243
"200","Joel Courtney",0.124037348552105
"201","Zach Mills",0.124035852563919
"202","Adam Baldwin",0.124020474771852
"203","Tom Guiry",0.123950596130561
"204","Spencer Treat Clark",0.123947419867093
"205","Jason Patric",0.123842490259751
"206","Alan Van Sprang",0.123840904690333
"207","Maurice LaMarche",0.123783398715889
"208","Christopher Guest",0.123743054965819
"209","Laura Harris",0.123741046257739
"210","Ato Essandoh",0.123660506633788
"211","Tyler Hilton",0.123400190010656
"212","Dallas Roberts",0.123399959402561
"213","Charlie Talbert",0.123363603636457
"214","Lukas Haas",0.123084829882382
"215","David Kross",0.122344212972504
"216","Susanne Lothar",0.122342816668004
"217","Olga Fonda",0.12219680394879
"218","Torey Michael Adkins",0.122195686753677
"219","Rob McElhenney",0.121674152277264
"220","Jacqueline Bisset",0.12095163227752
"221","Peter Boyle",0.120769897594286
"222","Marcus Lyle Brown",0.120768964981368
"223","Ajay Naidu",0.120224338619292
"224","Tucker Albrizzi",0.120057389317135
"225","Ronald Reagan",0.120057177839705
"226","Bill Clinton",0.120054829010017
"227","Bernie Sanders",0.12005480156231
"228","Eddie Cahill",0.119951619474491
"229","Kenneth Mitchell",0.119949882440777
"230","Shelley Waggener",0.11958512713522
"231","Lauren Sweetser",0.119583395960584
"232","Javier Botet",0.118619611081166
"233","Campbell Scott",0.118254459582471
"234","Larry David",0.117943005726575
"235","Jamey Sheridan",0.117176562909257
"236","Brian d'Arcy James",0.117174707264068
"237","John D'Leo",0.115412673328762
"238","Steve Whitmire",0.115166726189102
"239","Eric Jacobson",0.115166570417448
"240","Ryan Gosling",0.114142436810088
"241","Alma Martinez",0.113251067272161
"242","Darryl Hunt",0.113250930156353
"243","John Reeves",0.113248262964556
"244","Eve Ensler",0.113248219422012
"245","Robert Kennedy Jr.",0.113234317265201
"246","Evelyn Jefferson",0.113234293189931
